City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,52.29,80,96,2.84,overcast clouds
1,Uruzgan,AF,32.8333,66.0,37.06,38,29,3.76,scattered clouds
2,Torbay,CA,47.6666,-52.7314,37.58,78,90,10.36,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,47.86,81,75,14.97,light intensity drizzle
4,Sao Filipe,CV,14.8961,-24.4956,76.82,69,57,6.33,broken clouds
5,Hobyo,SO,5.3505,48.5268,78.44,70,100,14.41,overcast clouds
6,Jamestown,US,42.097,-79.2353,33.51,91,90,15.99,light snow
7,Diebougou,BF,10.9667,-3.25,74.53,19,12,3.29,few clouds
8,Faya,SA,18.3851,42.4509,46.51,29,0,1.9,clear sky
9,Bud,US,39.447,-86.1758,30.29,51,46,11.43,scattered clouds
10,Avarua,CK,-21.2078,-159.775,80.65,89,75,6.91,light rain
11,Sao Raimundo Nonato,BR,-9.0153,-42.6994,77.07,62,2,1.74,clear sky
12,Tura,IN,25.5198,90.2201,66.97,80,0,1.88,clear sky
13,Hermanus,ZA,-34.4187,19.2345,59.9,76,98,3.51,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,67.48,34,6,2.33,clear sky
15,Busselton,AU,-33.65,115.3333,73.09,42,0,14.81,clear sky
16,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,20,8.05,light rain
17,Ahipara,NZ,-35.1667,173.1667,72.01,68,100,8.12,light rain
18,Hilo,US,19.7297,-155.09,80.28,83,90,6.91,mist
19,Longyearbyen,SJ,78.2186,15.6401,33.64,75,75,25.32,broken clouds
20,Albany,US,42.6001,-73.9662,42.51,80,100,7.0,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,50.11,81,75,17.27,light intensity shower rain
22,Khatanga,RU,71.9667,102.5,-6.61,98,100,8.05,overcast clouds
23,Nueva Loja,EC,0.0847,-76.8828,71.91,98,100,0.74,overcast clouds
24,Acarau,BR,-2.8856,-40.12,81.09,81,32,17.0,scattered clouds
25,Leshukonskoye,RU,64.8989,45.7622,15.21,93,100,8.12,overcast clouds
26,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,79,90,17.27,overcast clouds
27,Esso,RU,55.9333,158.7,20.34,95,100,0.36,snow
28,Carballo,ES,43.213,-8.691,57.76,94,100,8.52,overcast clouds
29,Hithadhoo,MV,-0.6,73.0833,82.18,77,100,17.2,overcast clouds
30,Korla,CN,41.7597,86.1469,30.31,45,100,3.36,overcast clouds
31,Lorengau,PG,-2.0226,147.2712,82.0,83,100,15.52,light rain
32,Tasiilaq,GL,65.6145,-37.6368,30.36,88,100,5.03,light snow
33,Itarema,BR,-2.9248,-39.9167,80.91,81,45,16.51,scattered clouds
34,Sechura,PE,-5.5569,-80.8222,67.89,79,97,12.3,overcast clouds
35,Pingdingshan,CN,33.7385,113.3012,44.62,48,17,9.71,few clouds
36,Vaike-Maarja,EE,59.1264,26.25,0.59,98,30,1.5,scattered clouds
37,Tongren,CN,27.7172,109.1853,54.25,50,50,7.18,scattered clouds
38,Batemans Bay,AU,-35.7167,150.1833,83.98,48,33,8.32,scattered clouds
39,Sambava,MG,-14.2667,50.1667,72.86,90,19,9.17,light rain
40,Ossora,RU,59.2353,163.0719,17.89,89,100,5.19,overcast clouds
41,Svetlogorsk,BY,52.6333,29.7333,30.87,99,100,4.18,light snow
42,Isangel,VU,-19.55,169.2667,87.91,66,75,6.91,broken clouds
43,San Carlos,VE,9.6612,-68.5827,75.15,80,39,4.16,scattered clouds
44,Nemuro,JP,43.3236,145.575,52.23,71,10,10.8,clear sky
45,Kuvshinovo,RU,57.0295,34.1725,23.29,96,100,7.45,light snow
46,Angoche,MZ,-16.2325,39.9086,75.94,89,100,6.44,overcast clouds
47,Dikson,RU,73.5069,80.5464,-15.7,100,89,3.96,overcast clouds
48,Buraydah,SA,26.326,43.975,52.25,43,6,7.34,clear sky
49,Verkhnyaya Toyma,RU,62.2349,44.9985,-5.55,100,96,2.44,overcast clouds
50,Hobart,AU,-42.8794,147.3294,57.27,70,75,1.99,broken clouds
51,Langres,FR,47.8333,5.3333,37.18,93,96,13.13,overcast clouds
52,Honiara,SB,-9.4333,159.95,83.34,82,99,3.96,overcast clouds
53,Rikitea,PF,-23.1203,-134.9692,76.57,71,22,8.88,few clouds
54,Rameswaram,IN,9.2833,79.3,81.52,74,28,12.39,scattered clouds
55,Venice,US,27.0998,-82.4543,70.14,94,1,0.0,clear sky
56,Kumluca,TR,36.3703,30.2869,60.67,83,74,1.03,broken clouds
57,Lobito,AO,-12.3481,13.5456,77.49,81,100,4.23,light rain
58,Ribeira Grande,PT,38.5167,-28.7,64.83,85,95,16.58,overcast clouds
59,Cape Town,ZA,-33.9258,18.4232,62.89,80,20,1.99,few clouds
60,Fort Nelson,CA,58.8053,-122.7002,-11.61,77,40,0.0,scattered clouds
61,Paita,PE,-5.0892,-81.1144,66.97,83,94,9.82,overcast clouds
62,Rio Grande,BR,-32.035,-52.0986,67.95,74,1,12.71,clear sky
63,Butaritari,KI,3.0707,172.7902,83.14,74,94,12.59,overcast clouds
64,East London,ZA,-33.0153,27.9116,65.52,83,100,7.38,overcast clouds
65,Mar Del Plata,AR,-38.0023,-57.5575,64.87,83,0,18.99,clear sky
66,Thompson,CA,55.7435,-97.8558,-23.64,76,1,2.3,clear sky
67,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.45,91,99,1.72,overcast clouds
68,Bubaque,GW,11.2833,-15.8333,81.23,73,7,5.3,clear sky
69,Batagay,RU,67.6333,134.6333,-43.06,95,85,2.48,overcast clouds
70,Zalaegerszeg,HU,46.84,16.8439,30.25,88,8,7.34,clear sky
71,San Andres,CO,12.5847,-81.7006,82.42,78,40,13.8,scattered clouds
72,Port Elizabeth,ZA,-33.918,25.5701,62.1,90,80,6.15,broken clouds
73,New Norfolk,AU,-42.7826,147.0587,56.91,48,98,3.0,overcast clouds
74,Aklavik,CA,68.2191,-135.0107,16.52,81,100,5.46,overcast clouds
75,Trairi,BR,-3.2778,-39.2689,81.1,78,49,13.4,scattered clouds
76,Port Alfred,ZA,-33.5906,26.891,63.32,89,76,8.05,broken clouds
77,Port Hedland,AU,-20.3167,118.5667,95.05,52,62,14.97,broken clouds
78,Chuy,UY,-33.6971,-53.4616,62.28,89,0,7.49,clear sky
79,Acajutla,SV,13.5928,-89.8275,79.59,75,0,3.04,clear sky
80,De Aar,ZA,-30.6497,24.0123,61.54,57,8,5.95,clear sky
81,Axim,GH,4.8699,-2.2405,79.27,85,92,6.62,overcast clouds
82,Barabai,ID,-2.5833,115.3833,83.62,72,100,4.03,overcast clouds
83,Umba,RU,66.6871,34.3429,10.29,92,64,4.61,broken clouds
84,Aden,YE,12.7794,45.0367,78.26,70,20,13.33,few clouds
85,Saint-Philippe,RE,-21.3585,55.7679,76.59,77,35,8.72,scattered clouds
86,Raudeberg,NO,61.9875,5.1352,36.27,63,100,11.99,overcast clouds
87,Pevek,RU,69.7008,170.3133,-12.14,92,100,12.17,overcast clouds
88,Smithers,CA,54.7804,-127.1743,14.32,92,90,0.0,overcast clouds
89,Cherskiy,RU,68.75,161.3,-24.09,97,100,4.23,overcast clouds
90,Saint George,US,37.1041,-113.5841,60.53,34,1,1.01,clear sky
91,Esperance,AU,-33.8667,121.9,69.64,51,45,15.79,scattered clouds
92,Pouembout,NC,-21.1333,164.9,87.39,56,24,5.55,few clouds
93,Dauphin,CA,51.1494,-100.0502,-3.86,71,1,10.36,clear sky
94,College,US,64.8569,-147.8028,26.26,82,90,4.61,overcast clouds
95,Coromandel,BR,-18.4733,-47.2003,65.07,90,0,1.03,clear sky
96,Ostrovnoy,RU,68.0531,39.5131,13.78,86,100,18.79,overcast clouds
97,Iralaya,HN,15.0,-83.2333,78.13,88,10,10.22,clear sky
98,Tucumcari,US,35.1717,-103.725,39.04,28,1,13.8,clear sky
99,Lagunas,PE,-5.2269,-75.6753,72.68,98,98,2.55,very heavy rain
100,Litovko,RU,49.2361,135.1742,19.33,80,48,8.81,scattered clouds
101,Mo I Rana,NO,66.3128,14.1428,-2.29,86,2,8.81,clear sky
102,Villazon,BO,-22.0866,-65.5942,50.22,73,100,12.35,overcast clouds
103,Kulhudhuffushi,MV,6.6221,73.07,82.65,75,48,13.02,scattered clouds
104,Qaanaaq,GL,77.484,-69.3632,17.2,79,100,7.29,overcast clouds
105,Atambua,ID,-9.1061,124.8925,85.01,63,99,2.35,overcast clouds
106,Provideniya,RU,64.3833,-173.3,12.31,79,90,11.18,light snow
107,Guerrero Negro,MX,27.9769,-114.0611,62.55,83,0,8.66,clear sky
108,Makakilo City,US,21.3469,-158.0858,73.72,90,75,4.61,mist
109,Ponta Do Sol,PT,32.6667,-17.1,65.03,69,100,6.49,overcast clouds
110,Yingkou,CN,40.6648,122.2283,36.99,39,0,2.8,clear sky
111,Fortuna,US,40.5982,-124.1573,49.42,76,90,5.99,moderate rain
112,Asau,RO,46.4333,26.4,34.95,87,97,3.18,overcast clouds
113,Robertsport,LR,6.7533,-11.3686,80.29,80,6,6.82,light rain
114,Cortez,US,37.3489,-108.5859,47.7,33,40,0.0,scattered clouds
115,Salalah,OM,17.0151,54.0924,73.49,33,0,6.91,clear sky
116,Castro,BR,-24.7911,-50.0119,59.07,94,84,11.74,broken clouds
117,Kahului,US,20.8947,-156.47,80.62,81,40,3.44,scattered clouds
118,Puerto Ayora,EC,-0.7393,-90.3518,68.31,85,81,5.75,broken clouds
119,Peniche,PT,39.3558,-9.3811,60.62,93,93,7.83,overcast clouds
120,Karpathos,GR,35.507,27.2132,64.36,63,11,24.16,few clouds
121,Airai,TL,-8.9266,125.4092,74.62,63,97,2.8,overcast clouds
122,Marawi,PH,7.9986,124.2928,67.57,97,100,3.0,overcast clouds
123,Nikolskoye,RU,59.7035,30.7861,6.4,97,100,2.71,light snow
124,Coihaique,CL,-45.5752,-72.0662,60.75,59,0,3.44,clear sky
125,Severnyy,RU,50.677,36.5532,33.84,100,90,17.9,heavy intensity drizzle
126,Iqaluit,CA,63.7506,-68.5145,11.93,66,75,5.99,broken clouds
127,Arauca,CO,7.0847,-70.7591,76.96,88,0,0.0,clear sky
128,Marsh Harbour,BS,26.5412,-77.0636,77.04,84,9,9.91,clear sky
129,Atuona,PF,-9.8,-139.0333,79.11,70,1,19.04,clear sky
130,Sao Lourenco Do Oeste,BR,-26.3592,-52.8511,57.85,88,0,3.42,clear sky
131,Cizer,RO,47.0667,22.8833,38.73,99,100,2.59,overcast clouds
132,Cuenca,EC,-2.8833,-78.9833,60.93,72,75,6.91,broken clouds
133,Sulangan,PH,11.1373,123.7228,81.05,74,97,14.36,light rain
134,Mahebourg,MU,-20.4081,57.7,78.26,78,20,8.05,light rain
135,Saint Anthony,US,45.0205,-93.218,6.26,66,1,1.01,clear sky
136,Kaitangata,NZ,-46.2817,169.8464,58.93,79,79,12.08,broken clouds
137,Mittagong,AU,-34.45,150.45,72.0,61,77,6.38,moderate rain
138,Leh,IN,34.1667,77.5833,8.6,73,36,5.41,scattered clouds
139,Nanortalik,GL,60.1432,-45.2371,23.02,57,1,33.6,clear sky
140,Nabire,ID,-3.3667,135.4833,89.89,58,64,5.1,broken clouds
141,Souillac,MU,-20.5167,57.5167,78.37,78,20,8.05,light rain
142,Liku,ID,-0.7275,119.8922,88.09,53,100,6.78,overcast clouds
143,Arraial Do Cabo,BR,-22.9661,-42.0278,72.64,87,49,12.53,scattered clouds
144,Takoradi,GH,4.8845,-1.7554,79.5,84,67,7.74,broken clouds
145,Barrow,US,71.2906,-156.7887,19.42,79,1,13.8,clear sky
146,Alyangula,AU,-13.8483,136.4192,89.47,74,40,8.05,scattered clouds
147,Kruisfontein,ZA,-34.0033,24.7314,59.88,94,38,3.49,scattered clouds
148,Gimli,CA,50.6336,-96.9907,-3.57,77,100,3.44,overcast clouds
149,Maragogi,BR,-9.0122,-35.2225,78.22,71,7,8.86,clear sky
150,Pitea,SE,65.3172,21.4794,10.49,96,100,6.64,light snow
151,Vaini,TO,-21.2,-175.2,82.56,83,40,10.36,scattered clouds
152,Lexington,US,37.9887,-84.4777,33.12,65,1,5.75,clear sky
153,Poirino,IT,44.9208,7.8469,40.46,54,1,0.98,clear sky
154,Tavda,RU,58.0425,65.2726,1.02,94,51,4.88,broken clouds
155,Atbasar,KZ,51.8,68.3333,8.26,96,67,6.87,broken clouds
156,Lebu,CL,-37.6167,-73.65,57.29,86,73,11.12,broken clouds
157,Cangzhou,CN,38.3167,116.8667,43.88,36,3,3.89,clear sky
158,Hambantota,LK,6.1241,81.1185,77.34,100,44,3.44,scattered clouds
159,Visnes,NO,59.3556,5.2242,38.82,65,100,29.93,light rain
160,Lata,PT,40.1629,-8.3327,58.05,97,100,4.59,overcast clouds
161,Oloron-Sainte-Marie,FR,43.1944,-0.6107,47.03,89,66,4.56,broken clouds
162,Belyy Yar,RU,53.6039,91.3903,24.69,78,100,4.47,overcast clouds
163,Kavieng,PG,-2.5744,150.7967,81.93,80,100,13.85,moderate rain
164,Cidreira,BR,-30.1811,-50.2056,68.07,73,17,14.65,few clouds
165,Madang,PG,-5.2246,145.7966,87.03,67,76,7.63,broken clouds
166,Wad Madani,SD,14.4012,33.5199,74.57,35,0,9.98,clear sky
167,Whitefish,US,48.4111,-114.3376,25.38,89,78,1.97,broken clouds
168,Tautira,PF,-17.7333,-149.15,86.02,76,93,14.12,light rain
169,Amarkantak,IN,22.6667,81.75,62.13,62,0,4.79,clear sky
170,Lavrentiya,RU,65.5833,-171.0,-0.2,95,100,8.14,overcast clouds
171,Port Hawkesbury,CA,45.6169,-61.3485,56.59,97,90,13.0,moderate rain
172,Severo-Kurilsk,RU,50.6789,156.125,37.51,88,95,30.15,light rain
173,Damietta,EG,31.4165,31.8133,58.89,67,100,5.73,overcast clouds
174,Eppingen,DE,49.1369,8.9103,37.29,96,100,13.76,light snow
175,Payo,ID,-3.7508,103.6372,83.44,71,53,4.81,light rain
176,Kamachumu,TZ,-1.6186,31.62,61.84,70,95,2.8,overcast clouds
177,Cabo San Lucas,MX,22.8909,-109.9124,76.51,71,1,0.0,clear sky
178,Shelopugino,RU,51.6514,117.5599,22.14,73,15,3.96,few clouds
179,Avera,US,33.194,-82.5271,66.88,83,100,13.2,overcast clouds
180,Yaan,NG,7.3833,8.5667,75.72,69,100,5.21,overcast clouds
181,Porangatu,BR,-13.4408,-49.1486,71.38,95,85,1.48,light rain
182,Georgetown,MY,5.4112,100.3354,83.89,69,20,1.99,few clouds
183,Bluff,NZ,-46.6,168.3333,67.8,67,1,9.62,clear sky
184,Ust-Tsilma,RU,65.441,52.1498,13.59,92,100,8.61,overcast clouds
185,Kalaleh,IR,37.3807,55.4916,44.2,93,0,0.0,clear sky
186,Rumford,US,44.5537,-70.5509,55.0,93,100,13.87,moderate rain
187,Achutupo,PA,9.2,-77.9833,79.5,89,100,7.76,overcast clouds
188,Staryy Nadym,RU,65.6118,72.6842,5.9,96,100,8.93,overcast clouds
189,Bethel,US,41.3712,-73.414,55.99,75,90,24.16,moderate rain
190,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,77,100,12.66,overcast clouds
191,Chambishi,ZM,-12.6325,28.0537,65.44,72,65,4.23,broken clouds
192,Wichita Falls,US,33.9137,-98.4934,39.34,41,1,3.44,clear sky
193,Saskylakh,RU,71.9167,114.0833,-12.28,97,100,6.22,overcast clouds
194,Vanimo,PG,-2.6741,141.3028,83.89,79,99,2.13,overcast clouds
195,Hasaki,JP,35.7333,140.8333,61.09,80,92,21.59,overcast clouds
196,Rostovka,RU,55.3842,71.8891,6.28,92,98,13.09,overcast clouds
197,Husavik,IS,66.0449,-17.3389,30.11,88,100,5.32,overcast clouds
198,Pontes E Lacerda,BR,-15.2261,-59.3353,74.21,94,100,2.35,overcast clouds
199,Aracuai,BR,-16.8497,-42.0703,71.08,94,100,1.1,overcast clouds
200,Chabahar,IR,25.2919,60.643,70.27,69,0,2.77,clear sky
201,Clyde River,CA,70.4692,-68.5914,10.63,79,100,2.3,overcast clouds
202,Kangaatsiaq,GL,68.3065,-53.4641,21.56,67,37,13.58,scattered clouds
203,Pangody,RU,65.85,74.4859,1.51,97,99,9.71,light snow
204,Labuhan,ID,-6.8844,112.2051,82.81,75,81,5.73,broken clouds
205,Tiksi,RU,71.6872,128.8694,-26.63,95,100,8.25,overcast clouds
206,Champerico,GT,14.3,-91.9167,82.35,74,20,5.86,few clouds
207,Santana Do Livramento,BR,-30.8908,-55.5328,63.9,79,0,10.47,clear sky
208,Novoagansk,RU,61.9449,76.6625,-26.77,100,10,4.61,clear sky
209,Mount Isa,AU,-20.7333,139.5,91.17,29,9,10.36,clear sky
210,Nizwa,OM,22.9333,57.5333,62.67,60,0,2.15,clear sky
211,Chokurdakh,RU,70.6333,147.9167,-21.71,98,100,1.19,overcast clouds
212,Torbat-E Jam,IR,35.244,60.6225,44.6,35,0,6.4,clear sky
213,Thinadhoo,MV,0.5333,72.9333,81.63,79,72,14.34,broken clouds
214,Port Dover,CA,42.7834,-80.1997,35.26,72,27,25.52,scattered clouds
215,Lingao,CN,19.9103,109.6859,71.64,49,6,12.44,clear sky
216,Alofi,NU,-19.0595,-169.9187,76.89,88,90,11.5,light intensity drizzle
217,Upernavik,GL,72.7868,-56.1549,16.57,93,100,6.8,overcast clouds
218,Katsuura,JP,35.1333,140.3,61.2,85,100,18.54,overcast clouds
219,Lyngseidet,NO,69.5763,20.2189,15.89,89,24,19.8,few clouds
220,Sept-Iles,CA,50.2001,-66.3821,32.52,97,90,11.99,snow
221,Sabzevar,IR,36.2126,57.6819,43.3,46,0,3.87,clear sky
222,Toccoa,US,34.5773,-83.3324,60.35,74,1,8.05,clear sky
223,Sarapulka,RU,56.8678,61.0552,-2.38,80,6,9.84,clear sky
224,Yeppoon,AU,-23.1333,150.7333,85.78,61,16,10.6,few clouds
